,Itr,ReturnAvg,ReturnMax,ReturnMin,ReturnStd,TrainingLossFinal,TrainingLossStart
0,-1,-149.72477232259607,-105.82948230412785,-197.3318944691772,31.172686249971708,,
1,0,-13.712973106959643,13.133626542358776,-49.90762235456517,19.353952018315233,0.02452782168984413,0.9961420297622681
2,1,152.50974562820318,197.20877906653868,114.60135284029442,25.947722110624735,0.017727456986904144,0.038554053753614426
3,2,159.63595451025213,255.5112324142885,113.81305781942059,41.96078607464474,0.017376597970724106,0.03264840692281723
4,3,246.11769720559477,304.7065876603768,211.13800332822683,30.841308093056323,0.007443778216838837,0.015645714476704597
5,4,241.1051586296374,296.64693527036945,187.34695704556023,31.18258272498588,0.009738895110785961,0.012581458315253258
6,5,285.3220602232074,354.7074986469214,180.34865344779712,47.65384777087527,0.0088089844211936,0.009757614694535732
7,6,320.92644749165703,400.0634072439102,244.83211310443284,49.76918128265441,0.00588428508490324,0.008264218457043171
8,7,307.0799051728469,368.24099062180113,265.9615190219198,36.14998585452837,0.007511276751756668,0.008172303438186646
9,8,300.01332525960504,384.3384717153446,231.7459489740786,53.86510406343181,0.006526756100356579,0.007330215536057949
10,9,330.4193081962061,367.4034646301608,292.9823921030543,21.09520432187619,0.00568514596670866,0.006817660294473171
11,10,371.0285905860085,524.8832272991616,277.78084710601433,71.62179058119337,0.00476350262761116,0.005299668293446302
