Iteration	mean_reward_(100_episodes)	best_mean_reward	episodes	exploration	learning_rate
1090000	-17.45	-17.36	2894	0.097975	9.8875e-05
1100000	-17.53	-17.35	2916	0.09775	9.875e-05
1110000	-17.48	-17.35	2939	0.097525	9.8625e-05
1120000	-17.63	-17.35	2961	0.09730000000000001	9.850000000000001e-05
1130000	-17.8	-17.35	2984	0.09707500000000001	9.8375e-05
1140000	-17.85	-17.35	3006	0.09685	9.825e-05
1150000	-17.66	-17.35	3029	0.096625	9.8125e-05
1160000	-17.7	-17.35	3052	0.0964	9.800000000000001e-05
1170000	-17.56	-17.35	3075	0.09617500000000001	9.787500000000001e-05
1180000	-17.5	-17.35	3097	0.09595000000000001	9.775e-05
1190000	-17.29	-17.29	3118	0.095725	9.7625e-05
1200000	-17.18	-17.14	3139	0.0955	9.75e-05
1210000	-16.88	-16.81	3159	0.095275	9.737500000000001e-05
1220000	-16.48	-16.48	3179	0.09505000000000001	9.725e-05
1230000	-16.4	-16.4	3199	0.094825	9.7125e-05
1240000	-16.3	-16.21	3221	0.0946	9.7e-05
1250000	-16.26	-16.21	3241	0.094375	9.687500000000001e-05
1260000	-16.58	-16.21	3262	0.09415000000000001	9.675000000000001e-05
1270000	-16.97	-16.21	3284	0.09392500000000001	9.6625e-05
1280000	-17.19	-16.21	3305	0.0937	9.65e-05
1290000	-17.2	-16.21	3326	0.093475	9.6375e-05
1300000	-17.27	-16.21	3346	0.09325	9.625000000000001e-05
1310000	-17.35	-16.21	3366	0.09302500000000001	9.6125e-05
1320000	-17.03	-16.21	3386	0.09280000000000001	9.6e-05
1330000	-16.81	-16.21	3405	0.092575	9.5875e-05
1340000	-16.87	-16.21	3426	0.09235	9.575000000000001e-05
1350000	-16.95	-16.21	3446	0.09212500000000001	9.562500000000001e-05
1360000	-16.76	-16.21	3465	0.09190000000000001	9.55e-05
1370000	-16.79	-16.21	3484	0.091675	9.5375e-05
1380000	-17.08	-16.21	3505	0.09145	9.525000000000001e-05
1390000	-17.03	-16.21	3524	0.091225	9.512500000000001e-05
1400000	-17.21	-16.21	3544	0.091	9.5e-05
1410000	-17.27	-16.21	3563	0.09077500000000001	9.4875e-05
1420000	-17.42	-16.21	3581	0.09055	9.475e-05
1430000	-17.28	-16.21	3599	0.090325	9.462500000000001e-05
1440000	-17.35	-16.21	3618	0.0901	9.45e-05
1450000	-17.3	-16.21	3637	0.08987500000000001	9.4375e-05
1460000	-17.39	-16.21	3658	0.08965000000000001	9.425e-05
1470000	-17.31	-16.21	3678	0.089425	9.412500000000001e-05
1480000	-17.24	-16.21	3698	0.0892	9.400000000000001e-05
1490000	-17.12	-16.21	3718	0.088975	9.3875e-05
1500000	-16.92	-16.21	3739	0.08875000000000001	9.375e-05
1510000	-16.63	-16.21	3759	0.088525	9.3625e-05
1520000	-16.72	-16.21	3780	0.0883	9.350000000000001e-05
1530000	-16.87	-16.21	3800	0.088075	9.3375e-05
1540000	-16.78	-16.21	3820	0.08785	9.325e-05
1550000	-16.53	-16.21	3838	0.08762500000000001	9.3125e-05
1560000	-16.6	-16.21	3856	0.0874	9.300000000000001e-05
1570000	-16.28	-16.21	3874	0.087175	9.287500000000001e-05
1580000	-15.91	-15.91	3892	0.08695	9.275e-05
1590000	-15.98	-15.87	3912	0.08672500000000001	9.2625e-05
1600000	-16.05	-15.87	3932	0.08650000000000001	9.25e-05
1610000	-16.2	-15.87	3951	0.086275	9.237500000000001e-05
1620000	-16.12	-15.87	3971	0.08605	9.225e-05
1630000	-16.21	-15.87	3990	0.085825	9.2125e-05
1640000	-16.24	-15.87	4009	0.08560000000000001	9.2e-05
1650000	-16.11	-15.87	4028	0.085375	9.1875e-05
1660000	-16.13	-15.87	4048	0.08515	9.175000000000001e-05
1670000	-16.19	-15.87	4067	0.084925	9.1625e-05
1680000	-16.54	-15.87	4088	0.0847	9.15e-05
1690000	-16.45	-15.87	4107	0.08447500000000001	9.137500000000001e-05
1700000	-16.4	-15.87	4126	0.08425	9.125000000000001e-05
1710000	-16.38	-15.87	4144	0.084025	9.1125e-05
1720000	-16.26	-15.87	4163	0.0838	9.1e-05
1730000	-16.16	-15.87	4182	0.08357500000000001	9.0875e-05
1740000	-15.98	-15.87	4201	0.08335000000000001	9.075000000000001e-05
1750000	-16.3	-15.87	4220	0.083125	9.062500000000001e-05
1760000	-16.33	-15.87	4237	0.0829	9.05e-05
1770000	-16.48	-15.87	4257	0.082675	9.0375e-05
1780000	-16.7	-15.87	4276	0.08245	9.025e-05
1790000	-17.03	-15.87	4295	0.082225	9.012500000000001e-05
1800000	-16.92	-15.87	4314	0.082	9e-05
1810000	-16.96	-15.87	4332	0.081775	8.9875e-05
1820000	-16.8	-15.87	4351	0.08155000000000001	8.975e-05
1830000	-16.63	-15.87	4369	0.08132500000000001	8.962500000000001e-05
1840000	-16.68	-15.87	4387	0.0811	8.950000000000001e-05
1850000	-16.7	-15.87	4404	0.080875	8.9375e-05
1860000	-16.95	-15.87	4424	0.08065	8.925e-05
1870000	-17.06	-15.87	4443	0.080425	8.912500000000001e-05
1880000	-16.92	-15.87	4461	0.08020000000000001	8.900000000000001e-05
1890000	-16.81	-15.87	4479	0.079975	8.8875e-05
1900000	-16.48	-15.87	4497	0.07975	8.875e-05
1910000	-16.29	-15.87	4516	0.079525	8.8625e-05
1920000	-16.15	-15.87	4535	0.07930000000000001	8.850000000000001e-05
1930000	-16.01	-15.87	4553	0.079075	8.837500000000001e-05
1940000	-16.03	-15.87	4571	0.07885	8.825e-05
1950000	-15.81	-15.81	4588	0.078625	8.8125e-05
