Iteration	Time	TimestepsThisBatch	PoolSize	MaxEpReturn	LastEpReturn	Episodes	TimestepsSoFar
0	29.010581970214844	1000	2000	-0.10937612852620782	-19.96036382605414	6	2000
1	56.911126136779785	1000	3000	-0.08673402174679257	-70.61605591644008	13	3000
2	84.95938801765442	1000	4000	-0.08673402174679257	-31.975147227195748	16	4000
3	113.26908755302429	1000	5000	0.22966730762852383	-52.74943726184333	20	5000
4	141.6062114238739	1000	6000	0.22966730762852383	-44.46326994896328	21	6000
5	169.84913754463196	1000	7000	0.22966730762852383	-8.441165882800743	22	7000
6	198.0355246067047	1000	8000	79.49886114432272	11.176597415803275	28	8000
7	226.28875946998596	1000	9000	81.38195294691063	81.38195294691063	29	9000
8	254.89604544639587	1000	10000	126.51668239976766	25.809246227893745	31	10000
9	283.18370842933655	1000	11000	126.51668239976766	47.99923693546729	34	11000
10	311.62785363197327	1000	12000	126.51668239976766	92.71770197012928	35	12000
11	340.01974725723267	1000	13000	210.60989356584065	18.71669520957219	38	13000
12	368.4969184398651	1000	14000	210.60989356584065	49.071046814333606	40	14000
13	396.90793919563293	1000	15000	210.60989356584065	191.68721532350224	41	15000
14	425.30556631088257	1000	16000	287.8245766388382	287.8245766388382	42	16000
15	453.6091101169586	1000	17000	287.8245766388382	11.925139573950556	45	17000
16	482.11714482307434	1000	18000	287.8245766388382	260.1636635241396	46	18000
17	510.69331884384155	1000	19000	287.8245766388382	163.19154593178897	48	19000
18	539.1891136169434	1000	20000	317.4868992319783	14.675209486313578	50	20000
19	567.6442301273346	1000	21000	317.4868992319783	68.26167474656015	51	21000
20	596.2820806503296	1000	22000	317.4868992319783	258.96179432609887	52	22000
21	624.8148686885834	1000	23000	323.1637346401684	92.83777783921158	54	23000
22	653.4650790691376	1000	24000	323.1637346401684	96.07395917410672	57	24000
23	682.1272106170654	1000	25000	323.1637346401684	223.35727646894844	58	25000
24	710.7337279319763	1000	26000	340.68019606338055	156.608892306728	60	26000
25	739.3850431442261	1000	27000	340.68019606338055	336.77154457719047	61	27000
26	767.9959502220154	1000	28000	355.3322318754369	67.47219105883114	64	28000
27	796.6620118618011	1000	29000	404.6680729599255	15.159774043012115	67	29000
28	825.3173882961273	1000	30000	404.6680729599255	403.54626057421683	68	30000
29	853.8380308151245	1000	31000	404.6680729599255	326.2111808412347	69	31000
30	882.3871374130249	1000	32000	445.9682875217543	445.9682875217543	70	32000
31	911.1309990882874	1000	33000	461.79995237462515	461.79995237462515	71	33000
32	939.7612566947937	1000	34000	528.3256385927	528.3256385927	72	34000
33	968.2553305625916	1000	35000	528.3256385927	397.2631098604237	73	35000
34	997.0724899768829	1000	36000	528.3256385927	90.59873501348903	74	36000
35	1025.799392938614	1000	37000	539.0560971959502	539.0560971959502	75	37000
36	1054.4997181892395	1000	38000	539.0560971959502	32.556052472943065	78	38000
37	1083.281623840332	1000	39000	539.0560971959502	84.96813795346552	80	39000
38	1112.0676538944244	1000	40000	539.0560971959502	396.76702499450323	81	40000
39	1140.8216712474823	1000	41000	539.0560971959502	187.99538424105316	82	41000
40	1169.6225152015686	1000	42000	539.0560971959502	376.03855767755755	83	42000
41	1198.5316092967987	1000	43000	539.0560971959502	362.6961469358394	84	43000
42	1245.7874417304993	1000	44000	539.0560971959502	188.17164304670115	86	44000
43	1273.8017246723175	1000	45000	539.0560971959502	343.4798021237135	87	45000
44	1302.514413356781	1000	46000	539.0560971959502	396.331173675971	88	46000
45	1331.101538181305	1000	47000	539.0560971959502	398.62659317232806	89	47000
46	1359.729602098465	1000	48000	539.0560971959502	44.414061972792794	92	48000
47	1388.4404425621033	1000	49000	539.0560971959502	345.80679783168466	93	49000
48	1416.991770029068	1000	50000	539.0560971959502	126.59323581075871	96	50000
49	1445.754614830017	1000	51000	539.0560971959502	328.5835993170837	97	51000
50	1475.3764474391937	1000	52000	539.0560971959502	57.16922281872911	99	52000
51	1522.715125799179	1000	53000	539.0560971959502	326.8610675417335	100	53000
52	1550.9712450504303	1000	54000	539.0560971959502	330.1082499589282	101	54000
53	1579.4943120479584	1000	55000	539.0560971959502	374.21871419960377	102	55000
54	1607.9234919548035	1000	56000	539.0560971959502	344.10243957531037	103	56000
55	1636.5761778354645	1000	57000	539.0560971959502	340.966633348708	104	57000
56	1665.2216928005219	1000	58000	539.0560971959502	51.76573228049272	106	58000
57	1694.1130793094635	1000	59000	539.0560971959502	442.8071819537925	107	59000
58	1741.7680234909058	1000	60000	539.0560971959502	352.46111092903624	108	60000
59	1770.1384463310242	1000	61000	539.0560971959502	223.28762193482444	109	61000
60	1798.739387512207	1000	62000	539.0560971959502	442.84104635907056	110	62000
61	1827.4843394756317	1000	63000	539.0560971959502	368.0569978109743	111	63000
62	1856.042227268219	1000	64000	539.0560971959502	336.91766948198836	112	64000
63	1885.0145967006683	1000	65000	539.0560971959502	83.86306027025995	115	65000
64	1923.2711634635925	1000	66000	539.0560971959502	282.5336399390535	116	66000
65	1962.5127120018005	1000	67000	539.0560971959502	429.3184086773852	117	67000
66	1990.7666418552399	1000	68000	566.305665484865	15.961189720808662	120	68000
67	2019.4323461055756	1000	69000	648.4478237985962	117.25641555035213	122	69000
68	2048.114874601364	1000	70000	648.4478237985962	371.5364427026984	123	70000
69	2076.9356341362	1000	71000	648.4478237985962	49.17698913907126	125	71000
70	2105.7537722587585	1000	72000	648.4478237985962	530.2630819355434	126	72000
71	2146.2247376441956	1000	73000	648.4478237985962	116.12220795103231	129	73000
72	2184.7936894893646	1000	74000	648.4478237985962	145.55279315143463	131	74000
73	2213.1822748184204	1000	75000	648.4478237985962	257.1493766619453	133	75000
74	2241.903869152069	1000	76000	648.4478237985962	384.0568006044804	134	76000
75	2270.4928312301636	1000	77000	648.4478237985962	405.8189523311985	135	77000
76	2299.4121766090393	1000	78000	648.4478237985962	426.31468348634763	136	78000
77	2328.3607075214386	1000	79000	648.4478237985962	390.9724532263683	137	79000
78	2372.4237999916077	1000	80000	678.8609118986988	97.98404141753859	142	80000
79	2404.6082775592804	1000	81000	678.8609118986988	168.76297037405314	143	81000
80	2433.035816669464	1000	82000	678.8609118986988	451.0411517482063	144	82000
81	2461.5085020065308	1000	83000	678.8609118986988	22.90916252478112	146	83000
82	2490.2587954998016	1000	84000	678.8609118986988	561.5025629139897	147	84000
83	2518.86155629158	1000	85000	678.8609118986988	501.1943037916324	148	85000
84	2566.115115880966	1000	86000	678.8609118986988	427.0386767982677	149	86000
85	2598.1360564231873	1000	87000	678.8609118986988	132.25457898119168	151	87000
