Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
18.057827472686768	0	24.289856	11.447972	66.0	8.0	24.28985507246377	11.447972774920654	5028	5028
25.6436984539032	1	28.994219	9.245213	48.0	14.0	28.99421965317919	9.24521254633429	5016	10044
32.24799370765686	2	106.40426	27.611794	193.0	66.0	106.40425531914893	27.611791787604915	5001	15045
38.8472261428833	3	117.139534	13.337448	146.0	97.0	117.13953488372093	13.337447535432373	5037	20082
45.80901050567627	4	147.88235	34.52686	212.0	92.0	147.88235294117646	34.52685630387415	5028	25110
52.91595244407654	5	115.318184	24.952477	190.0	83.0	115.31818181818181	24.952475489575203	5074	30184
60.55595922470093	6	96.396225	19.564445	158.0	73.0	96.39622641509433	19.564445633083203	5109	35293
66.99928092956543	7	74.60294	15.933814	130.0	50.0	74.6029411764706	15.933815046551668	5073	40366
73.477872133255	8	61.839508	13.385506	105.0	33.0	61.839506172839506	13.385506064233839	5009	45375
80.16105699539185	9	52.552082	11.953792	92.0	32.0	52.552083333333336	11.95379105805862	5045	50420
86.75928997993469	10	42.533897	10.6529875	83.0	28.0	42.53389830508475	10.652987329406976	5019	55439
94.5168616771698	11	38.227272	7.9081764	63.0	25.0	38.22727272727273	7.908176540666445	5046	60485
102.83711099624634	12	37.11852	8.623012	64.0	14.0	37.11851851851852	8.623011291372553	5011	65496
109.28842735290527	13	31.26087	10.595629	60.0	10.0	31.26086956521739	10.595628853289048	5033	70529
115.9386305809021	14	24.38835	11.721471	67.0	10.0	24.388349514563107	11.721470640449812	5024	75553
122.75874543190002	15	21.581896	11.569215	60.0	8.0	21.58189655172414	11.56921523832441	5007	80560
130.7701632976532	16	18.913208	11.184053	74.0	8.0	18.91320754716981	11.184052624512617	5012	85572
137.57228136062622	17	18.883018	10.467807	63.0	8.0	18.883018867924527	10.467807538354025	5004	90576
144.261461019516	18	26.770054	12.479955	58.0	8.0	26.77005347593583	12.479954472413109	5006	95582
152.04819536209106	19	30.309092	9.209757	63.0	12.0	30.30909090909091	9.209756474797196	5001	100583
158.74629592895508	20	38.34351	11.194171	89.0	24.0	38.343511450381676	11.194171733517724	5023	105606
165.11473679542542	21	48.432693	12.069323	87.0	29.0	48.43269230769231	12.069322540956188	5037	110643
171.37616276741028	22	64.97403	17.179703	111.0	28.0	64.97402597402598	17.179702631094397	5003	115646
177.5431091785431	23	89.96429	23.557653	166.0	49.0	89.96428571428571	23.557652901001866	5038	120684
183.7695755958557	24	194.26923	117.76657	611.0	90.0	194.26923076923077	117.76657410458776	5051	125735
191.1783254146576	25	1000.0	0.0	1000.0	1000.0	1000.0	0.0	6000	131735
198.3937270641327	26	1000.0	0.0	1000.0	1000.0	1000.0	0.0	6000	137735
205.55324149131775	27	1000.0	0.0	1000.0	1000.0	1000.0	0.0	6000	143735
212.91267323493958	28	1000.0	0.0	1000.0	1000.0	1000.0	0.0	6000	149735
220.1565375328064	29	1000.0	0.0	1000.0	1000.0	1000.0	0.0	6000	155735
227.4123945236206	30	1000.0	0.0	1000.0	1000.0	1000.0	0.0	6000	161735
234.6118040084839	31	1000.0	0.0	1000.0	1000.0	1000.0	0.0	6000	167735
240.8536536693573	32	133.63158	83.482254	323.0	30.0	133.6315789473684	83.48224552897194	5078	172813
248.09052729606628	33	1000.0	0.0	1000.0	1000.0	1000.0	0.0	6000	178813
256.02823853492737	34	1000.0	0.0	1000.0	1000.0	1000.0	0.0	6000	184813
263.4330108165741	35	1000.0	0.0	1000.0	1000.0	1000.0	0.0	6000	190813
270.8119294643402	36	1000.0	0.0	1000.0	1000.0	1000.0	0.0	6000	196813
278.14863896369934	37	1000.0	0.0	1000.0	1000.0	1000.0	0.0	6000	202813
285.43747758865356	38	1000.0	0.0	1000.0	1000.0	1000.0	0.0	6000	208813
293.5769522190094	39	1000.0	0.0	1000.0	1000.0	1000.0	0.0	6000	214813
302.23573088645935	40	1000.0	0.0	1000.0	1000.0	1000.0	0.0	6000	220813
310.99432826042175	41	1000.0	0.0	1000.0	1000.0	1000.0	0.0	6000	226813
319.3181116580963	42	1000.0	0.0	1000.0	1000.0	1000.0	0.0	6000	232813
327.9075376987457	43	1000.0	0.0	1000.0	1000.0	1000.0	0.0	6000	238813
335.5225818157196	44	373.5625	247.01845	1000.0	74.0	373.5625	247.0184630624804	5977	244790
341.75102615356445	45	102.61224	51.78993	249.0	37.0	102.61224489795919	51.78992744498057	5028	249818
348.9197647571564	46	62.121952	23.54466	167.0	34.0	62.1219512195122	23.544659300117218	5094	254912
355.6059467792511	47	45.645454	17.106928	97.0	11.0	45.64545454545455	17.106929145623663	5021	259933
362.398236989975	48	33.331127	17.45523	93.0	7.0	33.33112582781457	17.455230095100696	5033	264966
368.84555649757385	49	18.950758	12.511564	65.0	7.0	18.950757575757574	12.511564324668655	5003	269969
376.28852248191833	50	13.6856365	9.388272	57.0	6.0	13.685636856368564	9.388272375615761	5050	275019
383.1853184700012	51	14.072829	9.578527	58.0	6.0	14.07282913165266	9.578527930644821	5024	280043
389.6166470050812	52	14.291429	9.277665	59.0	6.0	14.291428571428572	9.277665082754126	5002	285045
396.3991355895996	53	21.491453	14.636403	78.0	7.0	21.49145299145299	14.63640276580977	5029	290074
402.83281660079956	54	46.263638	23.490686	147.0	11.0	46.263636363636365	23.490685687088547	5089	295163
409.2117381095886	55	95.37736	24.44881	154.0	32.0	95.37735849056604	24.448811689373123	5055	300218
