,Itr,ReturnAvg,ReturnMax,ReturnMin,ReturnStd,TrainingLossFinal,TrainingLossStart
0,-1,-166.90021379686965,-116.47045694550646,-215.08036129277508,32.086508322408626,,
1,0,-52.23101775377164,-7.821731296594583,-80.14668535487043,22.37891802982211,0.024412894621491432,1.0318272113800049
2,1,1.0700979184519546,42.22192222637198,-47.11678581705883,26.101068586508315,0.0140302125364542,0.034371890127658844
3,2,21.952035398578566,60.50252803806404,-12.562704506202328,22.84694698969521,0.00964919663965702,0.015086084604263306
4,3,59.956105904660966,72.88734580998376,45.75326514253686,8.22282508372465,0.005604253150522709,0.013356238603591919
5,4,65.8655773704258,99.79471597327483,14.764520087200882,29.988498082497543,0.007338605355471373,0.01023684162646532
6,5,85.64997048054188,119.56812184216867,55.678569909612435,17.636198973873295,0.005643143784254789,0.0077392891980707645
7,6,88.15002265057649,114.97783489341211,51.14832810443021,23.1695889025608,0.007238571532070637,0.006902547087520361
8,7,94.34300161757751,193.4401516313705,41.048808112528064,44.824935112384104,0.00624180817976594,0.005968138109892607
9,8,103.03904054405355,146.9053779036018,14.708959491387985,35.49557255481297,0.003686372423544526,0.004603187087923288
10,9,104.81604650290623,134.3321199954825,48.381207149850155,24.430771465881556,0.0044946856796741486,0.004353129770606756
11,10,112.2055398821526,142.30211025493233,75.26429414364367,20.295313316903314,0.00410870835185051,0.0037731186021119356
