,Itr,ReturnAvg,ReturnMax,ReturnMin,ReturnStd,TrainingLossFinal,TrainingLossStart
0,-1,-129.8850936290614,-85.57717191982866,-219.18384069063194,39.99316836394871,,
1,0,32.834372167617445,80.2064486436401,-15.680231321769488,32.925909576357085,0.029380522668361664,1.0408697128295898
2,1,106.90682135977931,165.50716451880004,52.96434278017685,32.41267912626883,0.020367760211229324,0.0449511855840683
3,2,172.4317190717474,208.8327071913988,137.39194562496135,19.43145538708973,0.01340149063616991,0.02093004249036312
4,3,165.5916865535225,220.88907702577453,93.7405830032677,36.01589084748692,0.016611922532320023,0.016104213893413544
5,4,256.0504172883378,322.22843442231107,213.5228333299985,34.08960435774449,0.011225791648030281,0.016758445650339127
6,5,239.27563574905133,281.93625056523257,164.0171707192353,32.41837618728439,0.00896565429866314,0.011377169750630856
7,6,291.1460896503879,364.9719703711197,184.2499904193597,55.56549056204448,0.0070990752428770065,0.008484642952680588
8,7,340.90930515122534,400.80242934574255,250.98732103485497,44.54516165781987,0.0069051580503582954,0.008214706555008888
9,8,360.51407504841734,409.241234883438,297.5253547064677,37.55705996527132,0.006455846596509218,0.007285531610250473
10,9,328.6754133893777,400.16993103541455,264.972319879627,42.0376071735614,0.006186844781041145,0.008228345774114132
11,10,377.55714362692737,424.27750208686916,314.14098818686057,35.82637761962382,0.009342423640191555,0.007438451983034611
