,Itr,ReturnAvg,ReturnMax,ReturnMin,ReturnStd,TrainingLossFinal,TrainingLossStart
0,-1,-152.0051728416287,-108.0327671202021,-182.73604906234928,27.20706591911161,,
1,0,44.143849164503365,65.32635804069535,27.508646413164403,13.731099366822665,0.030436476692557335,1.0608813762664795
2,1,106.70500828391569,172.22567274728067,70.887776128435,34.64425996341572,0.02090643160045147,0.04617719724774361
3,2,125.43858132548921,157.56746530310215,67.72064344816722,26.719140893909668,0.012166216038167477,0.03118922747671604
4,3,189.68678813215925,247.1739147986223,145.6638424773988,29.642360095254105,0.00867358036339283,0.014980951324105263
5,4,253.15188179216608,316.75456589101657,203.05203365055547,29.015342076347647,0.008992789313197136,0.01517264824360609
6,5,227.4738849408239,280.65864438169206,170.5747808289199,32.28704689250492,0.00843777321279049,0.010487481951713562
7,6,319.0517397561466,391.64411546403494,248.1155432050983,38.49643737771438,0.006973312236368656,0.007671562023460865
8,7,331.2713257222463,395.15067843838233,213.92482453912856,52.05433706907691,0.0054742032662034035,0.007772891316562891
9,8,320.3963621757257,416.38033073565816,244.9180101531496,47.82748894497181,0.005665205419063568,0.007855812087655067
10,9,287.4291521566043,362.1363234625271,207.86343293422078,51.44813171312718,0.007082029245793819,0.005552561953663826
11,10,350.1519000210554,419.5985394289428,281.53666093962966,43.377950099102826,0.006163815502077341,0.0075952159240841866
