Iteration	Time	TimestepsThisBatch	PoolSize	MaxEpReturn	LastEpReturn	Episodes	TimestepsSoFar
0	24.391072750091553	1000	2000	0.8627354471952776	-72.95872512339669	7	2000
1	47.72060942649841	1000	3000	0.8627354471952776	-48.07833370704956	15	3000
2	71.1200315952301	1000	4000	0.8627354471952776	-139.41200348595862	16	4000
3	94.24786472320557	1000	5000	0.8627354471952776	-78.31635253796607	18	5000
4	117.55006265640259	1000	6000	0.8627354471952776	-34.90765439376802	24	6000
5	141.06598734855652	1000	7000	0.8627354471952776	-722.6654322619883	25	7000
6	164.3168969154358	1000	8000	0.8627354471952776	-97.92575643572816	30	8000
7	187.78176927566528	1000	9000	0.8627354471952776	-20.74917972980913	38	9000
8	211.27488040924072	1000	10000	5.1372065564299145	5.1372065564299145	43	10000
9	234.85605120658875	1000	11000	5.1372065564299145	-1138.0750178479345	44	11000
10	259.3092451095581	1000	12000	5.1372065564299145	-11.805634518214665	47	12000
11	299.41549801826477	1000	13000	5.1372065564299145	-69.2600778442175	49	13000
12	322.28348994255066	1000	14000	5.1372065564299145	-35.60274757637321	68	14000
13	345.62040853500366	1000	15000	5.1372065564299145	-124.11972962141247	71	15000
14	368.77680253982544	1000	16000	16.79727249436281	-10.320304300620473	81	16000
15	392.1273424625397	1000	17000	16.79727249436281	-12.471396491090285	86	17000
16	415.57495737075806	1000	18000	16.79727249436281	-16.557833684865603	93	18000
17	438.8916668891907	1000	19000	16.79727249436281	-20.824115138054445	101	19000
18	462.065682888031	1000	20000	16.79727249436281	-33.98567763737725	108	20000
19	485.36775398254395	1000	21000	16.79727249436281	-44.452911321733225	112	21000
20	521.6877272129059	1000	22000	16.79727249436281	-55.03182429122358	121	22000
21	548.6570479869843	1000	23000	16.79727249436281	-68.81677672919892	123	23000
22	571.9460520744324	1000	24000	16.79727249436281	-27.13745069193493	126	24000
23	595.3930580615997	1000	25000	16.79727249436281	-15.2769822100378	132	25000
24	618.6137430667877	1000	26000	16.79727249436281	-15.41421168673855	134	26000
25	642.0272822380066	1000	27000	16.79727249436281	-85.89774437621574	137	27000
26	665.4323246479034	1000	28000	16.79727249436281	-24.97345178470392	148	28000
27	688.960440158844	1000	29000	16.79727249436281	-22.643880076914723	150	29000
28	730.6697463989258	1000	30000	16.79727249436281	-37.54459526144045	154	30000
29	753.682466506958	1000	31000	16.79727249436281	-47.513904324914314	165	31000
30	777.0678234100342	1000	32000	16.79727249436281	-26.779695642506532	168	32000
31	800.4092254638672	1000	33000	16.79727249436281	-12.031440695083287	174	33000
32	823.7107319831848	1000	34000	18.97741969638755	-45.18661034426093	181	34000
33	847.0353326797485	1000	35000	18.97741969638755	-53.781989396875126	183	35000
34	870.5004422664642	1000	36000	18.97741969638755	-22.109801517181857	186	36000
35	893.9726207256317	1000	37000	18.97741969638755	-30.14210820430792	191	37000
36	929.6039867401123	1000	38000	18.97741969638755	-42.215642163354296	208	38000
37	959.8782825469971	1000	39000	18.97741969638755	-39.534466605154	210	39000
38	983.0765566825867	1000	40000	18.97741969638755	-48.99001368533648	213	40000
39	1006.3810570240021	1000	41000	18.97741969638755	-46.804302689733774	217	41000
